11:22:30.260 -> Flow rate: 0L/min	Output Liquid Quantity: 0mL
11:33:22.339 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:23.347 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:24.341 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:25.354 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:26.361 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:27.367 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:28.380 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:29.362 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:30.380 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:31.381 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:32.376 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:33.395 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:34.397 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:35.393 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:36.415 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:37.394 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:38.410 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:39.432 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:40.417 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:41.416 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:42.421 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:43.459 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:44.442 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:45.473 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:46.477 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:47.469 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:48.463 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:49.461 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:50.502 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:51.477 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:52.471 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:53.484 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:54.490 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:55.499 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:56.482 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:57.505 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:58.497 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:33:59.532 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:00.518 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:01.528 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:02.509 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:03.519 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:04.540 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:05.560 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:06.567 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:07.540 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:08.576 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:09.560 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:10.585 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:11.568 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:12.575 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:13.560 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:14.568 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:15.588 -> 	18LFlow rate: 0L/min	Output Liquid Quantity: 18963mL
11:34:16.575 -> 	18LFlow rate: 2L/min	Output Liquid Quantity: 19007mL
11:34:17.596 -> 	19LFlow rate: 10L/min	Output Liquid Quantity: 19188mL
11:34:18.601 -> 	19LFlow rate: 11L/min	Output Liquid Quantity: 19376mL
11:34:19.623 -> 	19LFlow rate: 11L/min	Output Liquid Quantity: 19561mL
11:34:20.630 -> 	19LFlow rate: 11L/min	Output Liquid Quantity: 19746mL
11:34:21.614 -> 	19LFlow rate: 11L/min	Output Liquid Quantity: 19934mL
11:34:22.635 -> 	19LFlow rate: 11L/min	Output Liquid Quantity: 20119mL
11:34:23.625 -> 	20LFlow rate: 11L/min	Output Liquid Quantity: 20304mL
11:34:24.645 -> 	20LFlow rate: 11L/min	Output Liquid Quantity: 20489mL
11:34:25.633 -> 	20LFlow rate: 11L/min	Output Liquid Quantity: 20674mL
11:34:26.622 -> 	20LFlow rate: 11L/min	Output Liquid Quantity: 20862mL
11:34:27.643 -> 	20LFlow rate: 11L/min	Output Liquid Quantity: 21047mL
11:34:28.649 -> 	21LFlow rate: 11L/min	Output Liquid Quantity: 21235mL
11:34:29.650 -> 	21LFlow rate: 11L/min	Output Liquid Quantity: 21420mL
11:34:30.658 -> 	21LFlow rate: 11L/min	Output Liquid Quantity: 21605mL
11:34:31.679 -> 	21LFlow rate: 11L/min	Output Liquid Quantity: 21793mL
11:34:32.651 -> 	21LFlow rate: 11L/min	Output Liquid Quantity: 21978mL
11:34:33.692 -> 	21LFlow rate: 7L/min	Output Liquid Quantity: 22107mL
11:34:34.678 -> 	22LFlow rate: 1L/min	Output Liquid Quantity: 22132mL
11:34:35.665 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:36.672 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:37.692 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:38.677 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:39.688 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:40.705 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:41.717 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:42.734 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:43.717 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:44.741 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:45.714 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:46.717 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:47.752 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:48.756 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:49.744 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:50.747 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:51.753 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:52.759 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:53.776 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:54.759 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:55.776 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:56.777 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:57.803 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:58.790 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:34:59.778 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:35:00.784 -> 	22LFlow rate: 0L/min	Output Liquid Quantity: 22135mL
11:35:01.819 -> 	22LFlow rate: 3L/min	Output Liquid Quantity: 22201mL
11:35:02.810 -> 	22LFlow rate: 11L/min	Output Liquid Quantity: 22393mL
11:35:03.828 -> 	22LFlow rate: 11L/min	Output Liquid Quantity: 22578mL
11:35:04.817 -> 	22LFlow rate: 11L/min	Output Liquid Quantity: 22766mL
11:35:05.827 -> 	22LFlow rate: 11L/min	Output Liquid Quantity: 22954mL
11:35:06.831 -> 	22LFlow rate: 11L/min	Output Liquid Quantity: 23150mL
11:35:07.817 -> 	23LFlow rate: 11L/min	Output Liquid Quantity: 23338mL
11:35:08.845 -> 	23LFlow rate: 11L/min	Output Liquid Quantity: 23530mL
11:35:09.847 -> 	23LFlow rate: 11L/min	Output Liquid Quantity: 23722mL
11:35:10.846 -> 	23LFlow rate: 11L/min	Output Liquid Quantity: 23914mL
11:35:11.853 -> 	23LFlow rate: 11L/min	Output Liquid Quantity: 24106mL
11:35:12.846 -> 	24LFlow rate: 11L/min	Output Liquid Quantity: 24298mL
11:35:13.849 -> 	24LFlow rate: 11L/min	Output Liquid Quantity: 24486mL
11:35:14.866 -> 	24LFlow rate: 11L/min	Output Liquid Quantity: 24674mL
11:35:15.859 -> 	24LFlow rate: 7L/min	Output Liquid Quantity: 24807mL
11:35:16.873 -> 	24LFlow rate: 1L/min	Output Liquid Quantity: 24829mL
11:35:17.881 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:18.882 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:19.894 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:20.899 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:21.905 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:22.917 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:23.908 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:24.911 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:25.916 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:26.923 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:27.936 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:28.932 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:29.936 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:30.940 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:31.925 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:32.951 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:33.954 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:34.959 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:35.964 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:36.967 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:37.971 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:38.975 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:39.979 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:40.968 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:42.015 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:43.012 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:43.996 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:45.017 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:46.021 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:47.026 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:48.016 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:49.035 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:50.040 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:51.029 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:52.066 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:53.056 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:54.046 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:55.047 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:56.056 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:57.061 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:58.057 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:35:59.088 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:00.075 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:01.099 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:02.073 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:03.080 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:04.085 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:05.118 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:06.118 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:07.099 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:08.099 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:09.118 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:10.118 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:11.125 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:12.142 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:13.137 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:14.158 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:15.125 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:16.172 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:17.169 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:18.144 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:19.168 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:20.180 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:21.172 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:22.203 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:23.180 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:24.167 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:25.187 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:26.203 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:27.200 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:28.207 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:29.223 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:30.215 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:31.221 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:32.210 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:33.228 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:34.237 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:35.230 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:36.262 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:37.243 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:38.243 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:39.276 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:40.290 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:41.266 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:42.271 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:43.301 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:44.262 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:45.285 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:46.306 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:47.285 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:48.297 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:49.304 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:50.308 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:51.311 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:52.330 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:53.328 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:54.341 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:55.360 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:56.359 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:57.340 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:58.361 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:36:59.353 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:00.341 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:01.360 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:02.361 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:03.369 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:04.373 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:05.377 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:06.390 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:07.387 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:08.396 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:09.414 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:10.387 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:11.405 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:12.396 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:13.405 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:14.425 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:15.425 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:16.436 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:17.457 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:18.439 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:19.439 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:20.471 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:21.438 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:22.458 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:23.485 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:24.466 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:25.495 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:26.498 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:27.492 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:28.488 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:29.514 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:30.519 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:31.491 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:32.514 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:33.500 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:34.506 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:35.520 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:36.528 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:37.541 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:38.516 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:39.539 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:40.527 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:41.548 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:42.554 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:43.554 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:44.577 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:45.568 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:46.569 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:47.592 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:48.570 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:49.584 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:50.589 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:51.590 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:52.617 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:53.603 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:54.611 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:55.611 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:56.617 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:57.615 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:58.626 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:37:59.659 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:38:00.628 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:38:01.639 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:38:02.645 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:38:03.653 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:38:04.654 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:38:05.641 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:38:06.682 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:38:07.667 -> 	24LFlow rate: 0L/min	Output Liquid Quantity: 24832mL
11:38:08.697 -> 	24LFlow rate: 9L/min	Output Liquid Quantity: 24991mL
11:38:09.669 -> 	24LFlow rate: 11L/min	Output Liquid Quantity: 25179mL
11:38:10.705 -> 	25LFlow rate: 11L/min	Output Liquid Quantity: 25367mL
11:38:11.687 -> 	25LFlow rate: 11L/min	Output Liquid Quantity: 25552mL
11:38:12.695 -> 	25LFlow rate: 11L/min	Output Liquid Quantity: 25737mL
11:38:13.686 -> 	25LFlow rate: 11L/min	Output Liquid Quantity: 25922mL
11:38:14.716 -> 	25LFlow rate: 11L/min	Output Liquid Quantity: 26110mL
11:38:15.709 -> 	26LFlow rate: 11L/min	Output Liquid Quantity: 26298mL
11:38:16.694 -> 	26LFlow rate: 11L/min	Output Liquid Quantity: 26486mL
11:38:17.697 -> 	26LFlow rate: 11L/min	Output Liquid Quantity: 26674mL
11:38:18.739 -> 	26LFlow rate: 11L/min	Output Liquid Quantity: 26862mL
11:38:19.707 -> 	26LFlow rate: 11L/min	Output Liquid Quantity: 27050mL
11:38:20.728 -> 	27LFlow rate: 11L/min	Output Liquid Quantity: 27235mL
11:38:21.740 -> 	27LFlow rate: 11L/min	Output Liquid Quantity: 27427mL
11:38:22.737 -> 	27LFlow rate: 11L/min	Output Liquid Quantity: 27615mL
11:38:23.763 -> 	27LFlow rate: 11L/min	Output Liquid Quantity: 27803mL
11:38:24.756 -> 	27LFlow rate: 11L/min	Output Liquid Quantity: 27991mL
11:38:25.750 -> 	27LFlow rate: 11L/min	Output Liquid Quantity: 28179mL
11:38:26.758 -> 	28LFlow rate: 11L/min	Output Liquid Quantity: 28364mL
11:38:27.778 -> 	28LFlow rate: 11L/min	Output Liquid Quantity: 28552mL
11:38:28.764 -> 	28LFlow rate: 10L/min	Output Liquid Quantity: 28725mL
11:38:29.772 -> 	28LFlow rate: 2L/min	Output Liquid Quantity: 28769mL
11:38:30.777 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:31.797 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:32.785 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:33.773 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:34.793 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:35.780 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:36.825 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:37.808 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:38.794 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:39.823 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:40.836 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:41.843 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:42.818 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:43.832 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:44.822 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:45.864 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
11:38:46.849 -> 	28LFlow rate: 0L/min	Output Liquid Quantity: 28776mL
