11:26:57.577 -> Flow rate: 20.65L/min	Output Liquid Quantity: 344mL
17:20:00.022 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:01.030 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:02.000 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:03.015 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:04.021 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:05.068 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:06.021 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:07.046 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:08.067 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:09.075 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:10.073 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:11.086 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:12.072 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:13.066 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:14.062 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:15.086 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:16.108 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:17.117 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:18.081 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:19.101 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:20.111 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:21.097 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:22.118 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:23.124 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:24.126 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:25.131 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:26.122 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:27.131 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:28.141 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:29.152 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:30.155 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:31.147 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:32.155 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:33.164 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:34.175 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:35.161 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:36.170 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:37.195 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:38.194 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:39.189 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:40.194 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:41.206 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:42.215 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:43.200 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:44.211 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:45.239 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:46.226 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:47.221 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:48.227 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:49.264 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:50.271 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:51.242 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:52.273 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:53.287 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:54.271 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:55.265 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:56.285 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:57.260 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:58.305 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:20:59.306 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:00.303 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:01.288 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:02.304 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:03.315 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:04.333 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:05.333 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:06.311 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:07.318 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:08.345 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:09.358 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:10.358 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:11.345 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:12.340 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:13.337 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:14.340 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:15.377 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:16.387 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:17.373 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:18.399 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:19.375 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:20.410 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:21.383 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:22.403 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:23.400 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:24.431 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:25.438 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:26.439 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:27.442 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:28.419 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:29.416 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:30.423 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:31.460 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:32.451 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:33.460 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:34.441 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:35.485 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:36.479 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:37.486 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:38.480 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:39.473 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:40.474 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:41.478 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:42.489 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:43.514 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:44.503 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:45.508 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:46.510 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:47.541 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:48.541 -> 	2221LFlow rate: 0.00L/min	Output Liquid Quantity: 2221690mL
17:21:49.565 -> 	2221LFlow rate: 8.21L/min	Output Liquid Quantity: 2221826mL
17:21:50.566 -> 	2221LFlow rate: 10.43L/min	Output Liquid Quantity: 2221999mL
17:21:51.540 -> 	2221LFlow rate: 10.21L/min	Output Liquid Quantity: 2222169mL
17:21:52.558 -> 	2222LFlow rate: 10.21L/min	Output Liquid Quantity: 2222339mL
17:21:53.556 -> 	2222LFlow rate: 10.43L/min	Output Liquid Quantity: 2222512mL
17:21:54.537 -> 	2222LFlow rate: 10.21L/min	Output Liquid Quantity: 2222682mL
17:21:55.552 -> 	2222LFlow rate: 10.21L/min	Output Liquid Quantity: 2222852mL
17:21:56.564 -> 	2222LFlow rate: 10.21L/min	Output Liquid Quantity: 2223022mL
17:21:57.555 -> 	2223LFlow rate: 10.21L/min	Output Liquid Quantity: 2223192mL
17:21:58.601 -> 	2223LFlow rate: 10.21L/min	Output Liquid Quantity: 2223362mL
17:21:59.585 -> 	2223LFlow rate: 10.21L/min	Output Liquid Quantity: 2223532mL
17:22:00.582 -> 	2223LFlow rate: 10.43L/min	Output Liquid Quantity: 2223705mL
17:22:01.592 -> 	2223LFlow rate: 10.43L/min	Output Liquid Quantity: 2223878mL
17:22:02.610 -> 	2223LFlow rate: 10.21L/min	Output Liquid Quantity: 2224048mL
17:22:03.618 -> 	2224LFlow rate: 10.21L/min	Output Liquid Quantity: 2224218mL
17:22:04.602 -> 	2224LFlow rate: 10.43L/min	Output Liquid Quantity: 2224391mL
17:22:05.618 -> 	2224LFlow rate: 9.99L/min	Output Liquid Quantity: 2224557mL
17:22:06.599 -> 	2224LFlow rate: 10.43L/min	Output Liquid Quantity: 2224730mL
17:22:07.632 -> 	2224LFlow rate: 10.21L/min	Output Liquid Quantity: 2224900mL
17:22:08.632 -> 	2224LFlow rate: 10.43L/min	Output Liquid Quantity: 2225073mL
17:22:09.618 -> 	2225LFlow rate: 10.21L/min	Output Liquid Quantity: 2225243mL
17:22:10.634 -> 	2225LFlow rate: 4.22L/min	Output Liquid Quantity: 2225313mL
17:22:11.609 -> 	2225LFlow rate: 0.67L/min	Output Liquid Quantity: 2225324mL
17:22:12.639 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:13.653 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:14.632 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:15.645 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:16.675 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:17.675 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:18.683 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:19.669 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:20.676 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:21.693 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:22.685 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:23.707 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:24.693 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:25.716 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:26.720 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:27.714 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:28.725 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:29.733 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:30.716 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:31.727 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:32.734 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:33.713 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:34.744 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:35.752 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:36.760 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:37.765 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:38.773 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:39.766 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:40.759 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:41.751 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:42.761 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:43.773 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:44.771 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:45.818 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:46.782 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:47.781 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:48.809 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:49.806 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:50.823 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:51.803 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:52.818 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:53.842 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:54.820 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:55.820 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:56.829 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:57.835 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:58.844 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:22:59.879 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:00.842 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:01.865 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:02.869 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:03.873 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:04.889 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:05.902 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:06.908 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:07.879 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:08.917 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:09.898 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:10.904 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:11.924 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:12.945 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:13.947 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:14.928 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:15.942 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:16.959 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:17.940 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:18.959 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:19.935 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:20.945 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:21.984 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:22.951 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:23.989 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:24.954 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:25.992 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:26.996 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:28.000 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:29.011 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:30.011 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:31.014 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:32.006 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:32.998 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:34.033 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:35.035 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:36.039 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:37.029 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:38.034 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:39.039 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:40.025 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:41.073 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:42.034 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:43.071 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:44.051 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:45.077 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:46.064 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:47.075 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:48.077 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:49.095 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:50.084 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:51.107 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:52.106 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:53.115 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:54.127 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:55.130 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:56.111 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:57.111 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:58.128 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:23:59.140 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:00.122 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:01.153 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:02.165 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:03.143 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:04.138 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:05.175 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:06.165 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:07.194 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:08.178 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:09.201 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:10.200 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:11.215 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:12.189 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:13.210 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:14.197 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:15.233 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:16.219 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:17.228 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:18.217 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:19.251 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:20.236 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:21.259 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:22.254 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:23.273 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:24.274 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:25.257 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:26.257 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:27.261 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:28.268 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:29.261 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:30.307 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:31.310 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:32.272 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:33.300 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:34.306 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:35.304 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:36.301 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:37.308 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:38.303 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:39.311 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:40.314 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:41.325 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:42.350 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:43.348 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:44.352 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:45.371 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:46.356 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:47.354 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:48.349 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:49.374 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:50.364 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:51.397 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:52.369 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:53.412 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:54.389 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:55.406 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:56.401 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:57.389 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
